tag	seed	spearman	steps	elapsed_s	hidden	layers	r_init	lambda_r
A_baseline	42	0.7758	6665	180.0	64	3	eye	0.0
A_baseline	123	0.7951	7389	180.0	64	3	eye	0.0
A_baseline	2024	0.7674	6770	180.0	64	3	eye	0.0
B_1layer	42	0.8192	10086	180.0	64	1	eye	0.0
B_1layer	123	0.8197	10393	180.0	64	1	eye	0.0
B_1layer	2024	0.8165	10634	180.0	64	1	eye	0.0
C_rel_phi	42	0.8183	10188	180.0	64	1	phi	0.1
C_rel_phi	123	0.8214	10104	180.0	64	1	phi	0.1
C_rel_phi	2024	0.8164	10183	180.0	64	1	phi	0.1
D_rel_eye	42	0.8199	10266	180.0	64	1	eye	0.1
D_rel_eye	123	0.8188	10007	180.0	64	1	eye	0.1
D_rel_eye	2024	0.8155	10059	180.0	64	1	eye	0.1
E_rel_phi_d	42	0.8166	9996	180.0	64	1	phi	0.1
E_rel_phi_d	123	0.8172	9635	180.0	64	1	phi	0.1
E_rel_phi_d	2024	0.8160	9998	180.0	64	1	phi	0.1
F_rel_h128	42	0.8152	5057	180.0	128	1	phi	0.1
F_rel_h128	123	0.8158	5183	180.0	128	1	phi	0.1
F_rel_h128	2024	0.8151	5182	180.0	128	1	phi	0.1
